@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute freq numeric
@attribute amp numeric
@attribute index numeric
@attribute fx numeric
@attribute release numeric
@attribute phase numeric

@data
211,'2023/11/30 15:50:02:794',9,0,0,0,0,0,0,1,0,0,0,812,92,1.09833,3,1,-0.008206,0.004735
212,'2023/11/30 15:50:03:101',9,0,0,0,0,0,0,1,0,0,0,813,92,1.09833,3,1,-0.008206,0.004735
213,'2023/11/30 15:50:03:305',9,0,0,0,0,0,0,1,0,0,0,811,92,1.09833,3,1,-0.008206,0.004735
214,'2023/11/30 15:50:03:614',9,0,0,0,0,0,0,1,0,0,0,812,92,1.09833,3,1,-0.008206,0.004735
215,'2023/11/30 15:50:03:818',9,0,0,0,0,0,0,1,0,0,0,812,92,1.09833,3,1,-0.008206,0.004735
216,'2023/11/30 15:50:04:023',9,0,0,0,0,0,0,1,0,0,0,810,92,1.09833,3,1,-0.008206,0.004735
217,'2023/11/30 15:50:04:331',9,0,0,0,0,0,0,1,0,0,0,811,92,1.09833,3,1,-0.008206,0.004735
218,'2023/11/30 15:50:04:534',9,0,0,0,0,0,0,1,0,0,0,780,92,1.09833,3,1,-0.008206,0.004735
219,'2023/11/30 15:50:04:842',9,0,0,0,0,0,0,1,0,0,0,701,92,1.09833,3,1,-0.008206,0.004735
220,'2023/11/30 15:50:05:047',9,0,0,0,0,0,0,1,0,0,0,606,92,1.09833,3,1,-0.008206,0.004735
221,'2023/11/30 15:50:05:357',9,0,0,0,0,0,0,1,0,0,0,548,92,1.09833,3,1,-0.008206,0.004735
